CCP,quarter,clearning service,4.1.1,4.1.2,4.1.3,4.1.4,4.1.5,4.1.6,4.1.7,4.1.8,4.1.9,4.1.10,4.4.7.PDA,4.4.7.MA,6.1.1.CLIENT,6.1.1.TOTAL,6.2.15.PRE,6.2.15.POST,18.1.1.1,18.1.1.2,18.1.2.2,19.1.1,19.1.2,23.1.2.OTC,23.1.2.ETD,23.2.1.OTC,23.2.1.ETD,year,q
KELER,Q2-2018,TEA,742262,15216,   N/A   ,7054169,7054169,                                 -    ,                       -    ,                             -    ,7054169,                       -    ,"8258874,62349361","717481,832373564",7777559,9869648,51000393,48527700,10,10,0,,19,0,"5935508,45901639",0,"42648360,3662411",2018,2
KELER,Q2-2018,KGA,642675,15216,   N/A   ,6107730,6107730,                                 -    ,                       -    ,                             -    ,6107730,                       -    ,"6525260,57439136","1854421,91500081",22928036,37382176,71550424,69367005,8,4,0,1217,12,0,"31001,9508196721",0,"32120121,6272754",2018,2
KELER,Q2-2018,TP KGA,269596,15216,   N/A   ,2562132,2562132,                                 -    ,                       -    ,                             -    ,2562132,                       -    ,,,0,8090142,16996332,16977789,0,43,0,,0,0,0,0,0,2018,2
KELER,Q2-2018,CEEGEX KGA,129285,17000,   N/A   ,1000000,1000000,                                 -    ,                       -    ,                             -    ,1000000,                       -    ,"371461,105447352","13041,5133345567",0,1701618,18058737,17642309,0,28,0,,0,0,0,0,0,2018,2
Kdpw,Q2-2018,organised market,1509481,39720201,10710740,33542693,42128842,81078,0,16771346,33461614,0,"212450565,17",50386141,133878954,141394567,276149720,275262861,10,21,0,,,0,386861742,0,1059193038,2018,2
Kdpw,Q2-2018,OTC market,1464406,39720201,10710740,32541054,32541054,107500,0,16270527,32433554,0,"127957261,106925","97530105,3457548",0,31585875,44374960,44374960,2,13,0,,,98088130,0,74831176255,0,2018,2
ICE CLEAR EUROPE,Q2-2018,F&O,133813690,0,0,2401784182,2461554307,0,0,4803568365,,0,2214878269,1633549570,26520160759,30730393198,33820763848,32608477531,73,0,0,Not available,63,0,0,0,0,2018,2
ICE CLEAR EUROPE,Q2-2018,CDS,42793563,0,0,932448834,949660149,0,0,932448834,,0,25791339,2842484,1115547629,5902564327,6757131308,6568205682,22,0,0,Not available,13,8226161085,0,,0,2018,2
Nasdaq,Q2-2018,Financial Markets,8609968,0,12236360,259403998,298141275,37932717,18765687,194872285,194872285,0,254996100,179341896,1823864696,3135151880,3971090772,3758177901,18,22,0,3521,39,9645621867,2905152897,347573314401,8340914868,2018,2
Nasdaq,Q2-2018,Commodities,4731399,0,6725656,152950000,165063466,20849534,11285718,133000000,133000000,0,190395482,97585754,1152564871,1736778282,2666763946,2622712657,14,79,0,203,145,0,212849152,0,12858948715,2018,2
Nasdaq,Q2-2018,Seafood,481611,0,98114,6166219,8936917,304156,291681,5361930,5361930,0,10345201,5547051,,,30126181,30126181,,,,21,21,0,2448742,0,183040214,2018,2
BME CLEARING,Q2-2018,financial derivatives,2500000,-,-,295200000,295200000,-,4000000,295200000,295200000,295200000,"428136442,36","333110841,400246","725382399,21","1553473746,45","1723555428,83863","1619302158,84",34,0,0,40400,31,0,"2769270476,19048",0,"14443534329,1224",2018,2
BME CLEARING,Q2-2018,repo,1000000,-,-,26000000,26000000,-,2000000,26000000,26000000,26000000,"59546943,39","19791312,7143701","12084118,18","1189714328,32","1384551376,16341","1347140555,2",0,26,0,16,1,0,"1316247311,3598",0,"10776914264,927",2018,2
BME CLEARING,Q2-2018,power,500000,-,-,12250000,12250000,-,1000000,12250000,12250000,12250000,"16185622,88","12214823,4248425","93329445,63","93443346,33","93544876,3916965","93248605,55",6,0,0,125,6,0,"2627217,12476191",0,"350412877,495",2018,2
BME CLEARING,Q2-2018,IRS,1000000,-,-,8000000,8000000,-,2000000,8000000,8000000,8000000,"8844863,0347","4443232,35249843",0,"8162759,14","24014678,2248412","22677987,22",0,8,0,0,0,"711487,873015873",0,"499564645,93",0,2018,2
BME CLEARING,Q2-2018,equity,1000000,-,-,113850000,113850000,-,3000000,113850000,113850000,113850000,"682562936,34","115871606,813189","245161764,02","296944869,19","664524750,439099",640644321,28,0,0,232,27,0,"5637539163,3127",0,"2819548647,5",2018,2
OMI CLEAR,Q2-2018,aggregated,"1941895,15",0,0,"47186200,06","47186200,06",0,"8914324,85","47186200,06","For additional information regarding participants commitment to replenish the default fund, please see OMIClear Instruction B07-2014.",0,"54913420,38","41452173,96","64068766,33","82814140,05","170854125,69","170854125,69",4,9,n.a.,54,4,0,"5183929,69",0,"652679800,41",2018,2
LCHLTD,Q2-2018,commodities,2178206,0,0,253936008,253936008,0,0,253936008,253936008,0,217820664,67625980,0,1422109361,172692350000,162496430000,22,14,2,0,22,,,,,2018,2
LCHLTD,Q2-2018,equities,10170000,0,0,1202270000,1202270000,0,0,1202270000,1202270000,0,824190000,535510000,403498673,12235710000,172692350000,162496430000,7,80,0,0,7,,,454189879,2885642979,2018,2
LCHLTD,Q2-2018,fixed income,13158346,0,0,1537725167,1537725167,0,0,1537725167,1537725167,0,1464607994,860130382,0,5128169497,172692350000,162496430000,11,21,0,19,11,,,,,2018,2
LCHLTD,Q2-2018,OTC FX,48405846,0,0,5643022402,5643022402,0,0,5643022402,5643022402,0,4275751932,3598521528,4554812,118558884938,172692350000,162496430000,55,58,0,20211,55,58691266901,0,1522988422164,0,2018,2
LCHLTD,Q2-2018,interest rates,,,,,,,,,,,,,65829580722,,172692350000,162496430000,,,,,,0,0,0,0,2018,2
